,"('delta',)","('lambda',)",delta_pred,lambda_pred
2999,0.467,0.1,0.503,0.27
3000,0.467,0.5,0.503,0.27
3001,0.467,0.233,0.503,0.27
3002,0.467,0.1,0.503,0.27
3003,0.4,0.5,0.473,0.309
3004,0.4,0.1,0.503,0.27
3005,0.533,0.5,0.503,0.27
3006,0.533,0.367,0.534,0.231
3007,0.6,0.233,0.503,0.27
3008,0.6,0.5,0.473,0.309
3009,0.467,0.5,0.467,0.365
3010,0.6,0.367,0.503,0.27
3011,0.4,0.367,0.473,0.309
3012,0.533,0.1,0.503,0.27
3013,0.533,0.1,0.467,0.357
3014,0.533,0.5,0.473,0.309
3015,0.467,0.233,0.503,0.27
3016,0.533,0.233,0.534,0.231
3017,0.4,0.5,0.534,0.231
3018,0.533,0.1,0.503,0.27
3019,0.4,0.233,0.473,0.309
3020,0.533,0.5,0.467,0.365
3021,0.4,0.367,0.473,0.309
3022,0.6,0.5,0.534,0.231
3023,0.6,0.233,0.534,0.231
3024,0.467,0.233,0.56,0.2
3025,0.4,0.5,0.467,0.365
3026,0.6,0.5,0.473,0.309
3027,0.533,0.1,0.473,0.309
3028,0.467,0.367,0.467,0.357
3029,0.4,0.1,0.473,0.309
3030,0.467,0.367,0.473,0.309
3031,0.467,0.5,0.473,0.309
3032,0.533,0.233,0.467,0.357
3033,0.467,0.5,0.503,0.27
3034,0.4,0.367,0.467,0.365
3035,0.467,0.1,0.473,0.309
3036,0.533,0.233,0.473,0.309
3037,0.533,0.367,0.503,0.27
3038,0.533,0.1,0.534,0.231
3039,0.467,0.5,0.467,0.357
3040,0.533,0.5,0.473,0.309
3041,0.6,0.5,0.467,0.365
3042,0.6,0.233,0.473,0.309
3043,0.533,0.1,0.534,0.231
3044,0.6,0.233,0.473,0.309
3045,0.4,0.367,0.473,0.309
3046,0.467,0.5,0.467,0.357
3047,0.467,0.233,0.473,0.309
3048,0.6,0.233,0.503,0.27
3049,0.533,0.1,0.534,0.231
3050,0.467,0.233,0.473,0.309
3051,0.467,0.1,0.503,0.27
3052,0.533,0.367,0.467,0.365
3053,0.533,0.1,0.467,0.365
3054,0.467,0.367,0.467,0.357
3055,0.4,0.233,0.467,0.357
3056,0.6,0.5,0.473,0.309
3057,0.6,0.5,0.534,0.231
3058,0.4,0.367,0.503,0.27
3059,0.4,0.1,0.473,0.309
3060,0.533,0.1,0.467,0.365
3061,0.6,0.367,0.473,0.309
3062,0.533,0.367,0.467,0.365
3063,0.467,0.233,0.473,0.309
3064,0.467,0.5,0.534,0.231
3065,0.4,0.5,0.473,0.309
3066,0.467,0.1,0.467,0.357
3067,0.4,0.1,0.503,0.27
3068,0.467,0.367,0.473,0.309
3069,0.6,0.5,0.473,0.309
3070,0.4,0.367,0.534,0.231
3071,0.6,0.367,0.503,0.27
3072,0.4,0.367,0.473,0.309
3073,0.467,0.233,0.467,0.365
3074,0.6,0.1,0.503,0.27
3075,0.467,0.367,0.473,0.309
3076,0.6,0.233,0.473,0.309
3077,0.6,0.233,0.534,0.231
3078,0.467,0.233,0.473,0.309
3079,0.6,0.233,0.534,0.231
3080,0.4,0.1,0.503,0.27
3081,0.467,0.233,0.503,0.27
3082,0.467,0.367,0.467,0.357
3083,0.6,0.1,0.473,0.309
3084,0.6,0.5,0.503,0.27
3085,0.6,0.5,0.534,0.231
3086,0.6,0.1,0.503,0.27
3087,0.6,0.233,0.473,0.309
3088,0.4,0.1,0.473,0.309
3089,0.533,0.5,0.467,0.357
3090,0.467,0.1,0.473,0.309
3091,0.467,0.1,0.503,0.27
3092,0.6,0.1,0.534,0.231
3093,0.6,0.367,0.467,0.357
3094,0.467,0.5,0.503,0.27
3095,0.467,0.1,0.473,0.309
3096,0.467,0.367,0.56,0.2
3097,0.467,0.1,0.473,0.309
3098,0.467,0.1,0.467,0.357
3099,0.467,0.5,0.473,0.309
3100,0.4,0.1,0.467,0.365
3101,0.467,0.367,0.467,0.365
3102,0.6,0.5,0.534,0.231
3103,0.533,0.1,0.473,0.309
3104,0.467,0.5,0.467,0.357
3105,0.533,0.5,0.503,0.27
3106,0.4,0.1,0.503,0.27
3107,0.467,0.5,0.534,0.231
3108,0.467,0.5,0.473,0.309
3109,0.4,0.5,0.503,0.27
3110,0.533,0.1,0.473,0.309
3111,0.467,0.5,0.473,0.309
3112,0.467,0.233,0.473,0.309
3113,0.467,0.367,0.467,0.357
3114,0.467,0.367,0.467,0.357
3115,0.467,0.1,0.503,0.27
3116,0.4,0.1,0.503,0.27
3117,0.4,0.1,0.503,0.27
3118,0.6,0.367,0.473,0.309
3119,0.467,0.5,0.473,0.309
3120,0.533,0.367,0.473,0.309
3121,0.533,0.233,0.473,0.309
3122,0.6,0.1,0.503,0.27
3123,0.4,0.5,0.534,0.231
3124,0.4,0.367,0.56,0.2
3125,0.467,0.1,0.473,0.309
3126,0.6,0.5,0.503,0.27
3127,0.533,0.5,0.467,0.357
3128,0.6,0.1,0.473,0.309
3129,0.6,0.5,0.503,0.27
3130,0.533,0.233,0.467,0.357
3131,0.533,0.5,0.467,0.365
3132,0.533,0.1,0.473,0.309
3133,0.533,0.233,0.534,0.231
3134,0.467,0.5,0.467,0.365
3135,0.467,0.1,0.473,0.309
3136,0.6,0.5,0.503,0.27
3137,0.6,0.233,0.473,0.309
3138,0.6,0.233,0.534,0.231
3139,0.533,0.367,0.503,0.27
3140,0.467,0.1,0.503,0.27
3141,0.533,0.367,0.467,0.357
3142,0.467,0.1,0.503,0.27
3143,0.467,0.233,0.473,0.309
3144,0.4,0.1,0.467,0.365
3145,0.6,0.233,0.473,0.309
3146,0.533,0.5,0.534,0.231
3147,0.533,0.1,0.534,0.231
3148,0.6,0.233,0.473,0.309
3149,0.4,0.367,0.467,0.365
3150,0.6,0.5,0.473,0.309
3151,0.533,0.1,0.473,0.309
3152,0.467,0.367,0.473,0.309
3153,0.4,0.367,0.503,0.27
3154,0.467,0.1,0.467,0.357
3155,0.4,0.1,0.503,0.27
3156,0.6,0.367,0.503,0.27
3157,0.4,0.1,0.503,0.27
3158,0.467,0.233,0.503,0.27
3159,0.4,0.1,0.473,0.309
3160,0.6,0.233,0.467,0.357
3161,0.6,0.1,0.467,0.357
3162,0.533,0.1,0.473,0.309
3163,0.467,0.367,0.467,0.357
3164,0.4,0.1,0.473,0.309
3165,0.6,0.1,0.534,0.231
3166,0.533,0.367,0.473,0.309
3167,0.533,0.5,0.503,0.27
3168,0.6,0.5,0.467,0.365
3169,0.467,0.5,0.503,0.27
3170,0.6,0.5,0.473,0.309
3171,0.533,0.233,0.473,0.309
3172,0.467,0.1,0.467,0.357
3173,0.6,0.1,0.473,0.309
3174,0.533,0.233,0.503,0.27
3175,0.533,0.233,0.467,0.357
3176,0.6,0.367,0.503,0.27
3177,0.6,0.233,0.534,0.231
3178,0.4,0.367,0.467,0.365
3179,0.533,0.233,0.534,0.231
3180,0.533,0.233,0.473,0.309
3181,0.467,0.233,0.473,0.309
3182,0.467,0.1,0.473,0.309
3183,0.467,0.233,0.473,0.309
3184,0.4,0.367,0.503,0.27
3185,0.6,0.1,0.473,0.309
3186,0.6,0.1,0.534,0.231
3187,0.4,0.5,0.503,0.27
3188,0.533,0.367,0.473,0.309
3189,0.467,0.367,0.473,0.309
3190,0.533,0.5,0.503,0.27
3191,0.4,0.5,0.503,0.27
3192,0.533,0.5,0.473,0.309
3193,0.533,0.233,0.503,0.27
3194,0.4,0.5,0.467,0.365
3195,0.533,0.5,0.534,0.231
3196,0.6,0.5,0.503,0.27
3197,0.4,0.1,0.503,0.27
3198,0.533,0.367,0.467,0.365
3199,0.467,0.5,0.503,0.27
3200,0.6,0.367,0.467,0.357
3201,0.533,0.367,0.473,0.309
3202,0.4,0.1,0.534,0.231
3203,0.6,0.1,0.503,0.27
3204,0.6,0.1,0.473,0.309
3205,0.4,0.233,0.467,0.357
3206,0.533,0.367,0.467,0.365
3207,0.4,0.233,0.503,0.27
3208,0.533,0.1,0.473,0.309
3209,0.4,0.1,0.503,0.27
3210,0.467,0.233,0.467,0.365
3211,0.467,0.5,0.473,0.309
3212,0.533,0.233,0.503,0.27
3213,0.4,0.367,0.467,0.365
3214,0.4,0.5,0.473,0.309
3215,0.4,0.233,0.467,0.365
3216,0.467,0.5,0.503,0.27
3217,0.6,0.367,0.473,0.309
3218,0.6,0.1,0.503,0.27
3219,0.6,0.233,0.503,0.27
3220,0.533,0.5,0.503,0.27
3221,0.6,0.367,0.534,0.231
3222,0.533,0.233,0.467,0.365
3223,0.467,0.5,0.503,0.27
3224,0.533,0.367,0.503,0.27
3225,0.6,0.1,0.473,0.309
3226,0.533,0.233,0.503,0.27
3227,0.467,0.5,0.467,0.365
3228,0.6,0.1,0.503,0.27
3229,0.4,0.367,0.56,0.2
3230,0.4,0.367,0.467,0.365
3231,0.467,0.367,0.467,0.365
3232,0.4,0.367,0.467,0.365
3233,0.4,0.367,0.473,0.309
3234,0.6,0.1,0.467,0.357
3235,0.6,0.233,0.473,0.309
3236,0.6,0.233,0.473,0.309
3237,0.533,0.233,0.473,0.309
3238,0.4,0.5,0.473,0.309
3239,0.4,0.5,0.473,0.309
3240,0.4,0.233,0.503,0.27
3241,0.533,0.1,0.473,0.309
3242,0.6,0.1,0.473,0.309
3243,0.467,0.1,0.467,0.365
3244,0.533,0.367,0.534,0.231
3245,0.4,0.1,0.503,0.27
3246,0.467,0.367,0.503,0.27
3247,0.6,0.1,0.467,0.357
3248,0.4,0.5,0.473,0.309
3249,0.4,0.367,0.473,0.309
3250,0.6,0.1,0.473,0.309
3251,0.4,0.1,0.473,0.309
3252,0.6,0.1,0.534,0.231
3253,0.467,0.233,0.473,0.309
3254,0.533,0.5,0.473,0.309
3255,0.533,0.233,0.473,0.309
3256,0.533,0.5,0.503,0.27
3257,0.4,0.1,0.473,0.309
3258,0.533,0.1,0.534,0.231
3259,0.467,0.1,0.473,0.309
3260,0.4,0.5,0.473,0.309
3261,0.467,0.5,0.473,0.309
3262,0.533,0.5,0.473,0.309
3263,0.6,0.233,0.473,0.309
3264,0.6,0.1,0.473,0.309
3265,0.533,0.1,0.467,0.365
3266,0.467,0.1,0.534,0.231
3267,0.467,0.5,0.467,0.357
3268,0.467,0.233,0.467,0.357
3269,0.533,0.5,0.473,0.309
3270,0.6,0.233,0.467,0.357
3271,0.4,0.367,0.503,0.27
3272,0.467,0.1,0.534,0.231
3273,0.533,0.367,0.503,0.27
3274,0.467,0.367,0.503,0.27
3275,0.533,0.1,0.473,0.309
3276,0.4,0.233,0.534,0.231
3277,0.533,0.5,0.473,0.309
3278,0.467,0.367,0.467,0.357
3279,0.4,0.233,0.473,0.309
3280,0.467,0.5,0.473,0.309
3281,0.533,0.233,0.534,0.231
3282,0.533,0.5,0.473,0.309
3283,0.467,0.367,0.503,0.27
3284,0.467,0.5,0.467,0.365
3285,0.533,0.367,0.467,0.365
3286,0.4,0.233,0.534,0.231
3287,0.467,0.1,0.534,0.231
3288,0.6,0.1,0.503,0.27
3289,0.467,0.5,0.473,0.309
3290,0.533,0.233,0.473,0.309
3291,0.6,0.5,0.467,0.365
3292,0.4,0.367,0.467,0.365
3293,0.6,0.367,0.534,0.231
3294,0.4,0.233,0.534,0.231
3295,0.6,0.1,0.467,0.357
3296,0.467,0.1,0.503,0.27
3297,0.467,0.5,0.503,0.27
3298,0.467,0.367,0.534,0.231
3299,0.4,0.1,0.473,0.309
3300,0.4,0.367,0.473,0.309
3301,0.4,0.367,0.473,0.309
3302,0.533,0.367,0.503,0.27
3303,0.533,0.367,0.467,0.365
3304,0.6,0.5,0.467,0.357
3305,0.533,0.233,0.473,0.309
3306,0.4,0.367,0.467,0.365
3307,0.533,0.233,0.503,0.27
3308,0.533,0.367,0.534,0.231
3309,0.6,0.1,0.473,0.309
3310,0.4,0.367,0.467,0.365
3311,0.533,0.1,0.503,0.27
3312,0.6,0.233,0.534,0.231
3313,0.533,0.233,0.534,0.231
3314,0.533,0.233,0.467,0.357
3315,0.467,0.5,0.467,0.365
3316,0.6,0.5,0.473,0.309
3317,0.467,0.5,0.503,0.27
3318,0.4,0.367,0.473,0.309
3319,0.4,0.1,0.467,0.357
3320,0.533,0.367,0.473,0.309
3321,0.533,0.5,0.473,0.309
3322,0.533,0.233,0.473,0.309
3323,0.467,0.367,0.503,0.27
3324,0.533,0.367,0.467,0.365
3325,0.6,0.367,0.503,0.27
3326,0.6,0.5,0.467,0.365
3327,0.6,0.367,0.534,0.231
3328,0.6,0.5,0.473,0.309
3329,0.4,0.233,0.503,0.27
3330,0.467,0.5,0.503,0.27
3331,0.467,0.1,0.467,0.357
3332,0.467,0.5,0.534,0.231
3333,0.533,0.5,0.467,0.365
3334,0.4,0.367,0.473,0.309
3335,0.467,0.367,0.467,0.357
3336,0.533,0.233,0.534,0.231
3337,0.467,0.233,0.473,0.309
3338,0.6,0.233,0.473,0.309
3339,0.467,0.5,0.467,0.357
3340,0.467,0.1,0.503,0.27
3341,0.6,0.367,0.473,0.309
3342,0.6,0.1,0.534,0.231
3343,0.533,0.1,0.473,0.309
3344,0.6,0.1,0.473,0.309
3345,0.6,0.5,0.473,0.309
3346,0.6,0.367,0.473,0.309
3347,0.4,0.1,0.473,0.309
3348,0.4,0.233,0.473,0.309
3349,0.467,0.367,0.473,0.309
3350,0.533,0.367,0.473,0.309
3351,0.467,0.1,0.473,0.309
3352,0.4,0.367,0.467,0.365
3353,0.6,0.5,0.503,0.27
3354,0.467,0.367,0.473,0.309
3355,0.533,0.5,0.467,0.357
3356,0.467,0.5,0.467,0.365
3357,0.467,0.233,0.473,0.309
3358,0.533,0.367,0.503,0.27
3359,0.533,0.1,0.534,0.231
3360,0.4,0.5,0.473,0.309
3361,0.533,0.367,0.467,0.365
3362,0.533,0.1,0.473,0.309
3363,0.467,0.1,0.503,0.27
3364,0.467,0.367,0.473,0.309
3365,0.4,0.367,0.503,0.27
3366,0.4,0.1,0.467,0.357
3367,0.533,0.1,0.503,0.27
3368,0.467,0.5,0.473,0.309
3369,0.467,0.367,0.503,0.27
3370,0.6,0.1,0.503,0.27
3371,0.4,0.5,0.473,0.309
3372,0.533,0.233,0.503,0.27
3373,0.467,0.367,0.534,0.231
3374,0.533,0.1,0.473,0.309
3375,0.533,0.1,0.534,0.231
3376,0.533,0.367,0.467,0.357
3377,0.6,0.367,0.503,0.27
3378,0.6,0.367,0.503,0.27
3379,0.467,0.1,0.503,0.27
3380,0.533,0.367,0.473,0.309
3381,0.533,0.233,0.467,0.365
3382,0.467,0.5,0.467,0.357
3383,0.4,0.5,0.503,0.27
3384,0.4,0.367,0.503,0.27
3385,0.533,0.367,0.534,0.231
3386,0.6,0.1,0.503,0.27
3387,0.4,0.233,0.467,0.365
3388,0.467,0.367,0.467,0.365
3389,0.6,0.1,0.467,0.357
3390,0.6,0.1,0.473,0.309
3391,0.6,0.233,0.473,0.309
3392,0.6,0.233,0.467,0.365
3393,0.4,0.233,0.473,0.309
3394,0.533,0.5,0.473,0.309
3395,0.533,0.5,0.467,0.357
3396,0.6,0.1,0.467,0.357
3397,0.6,0.367,0.503,0.27
3398,0.4,0.1,0.503,0.27
3399,0.533,0.367,0.467,0.365
3400,0.6,0.367,0.467,0.365
3401,0.4,0.233,0.467,0.365
3402,0.4,0.5,0.503,0.27
3403,0.467,0.233,0.473,0.309
3404,0.4,0.367,0.467,0.365
3405,0.533,0.1,0.503,0.27
3406,0.4,0.367,0.473,0.309
3407,0.4,0.233,0.473,0.309
3408,0.533,0.5,0.473,0.309
3409,0.6,0.367,0.473,0.309
3410,0.533,0.367,0.473,0.309
3411,0.467,0.367,0.503,0.27
3412,0.533,0.5,0.473,0.309
3413,0.4,0.233,0.467,0.365
3414,0.6,0.1,0.473,0.309
3415,0.6,0.1,0.503,0.27
3416,0.6,0.233,0.467,0.357
3417,0.533,0.233,0.473,0.309
3418,0.6,0.233,0.473,0.309
3419,0.467,0.1,0.473,0.309
3420,0.533,0.367,0.467,0.357
3421,0.4,0.233,0.473,0.309
3422,0.4,0.367,0.503,0.27
3423,0.533,0.367,0.56,0.2
3424,0.4,0.367,0.473,0.309
3425,0.6,0.233,0.467,0.357
3426,0.4,0.1,0.503,0.27
3427,0.533,0.5,0.473,0.309
3428,0.533,0.233,0.473,0.309
3429,0.4,0.1,0.503,0.27
3430,0.467,0.233,0.467,0.365
3431,0.467,0.233,0.534,0.231
3432,0.6,0.233,0.503,0.27
3433,0.6,0.233,0.534,0.231
3434,0.6,0.367,0.503,0.27
3435,0.6,0.5,0.534,0.231
3436,0.467,0.1,0.473,0.309
3437,0.467,0.367,0.467,0.357
3438,0.6,0.367,0.467,0.365
3439,0.6,0.367,0.534,0.231
3440,0.4,0.1,0.473,0.309
3441,0.467,0.1,0.467,0.357
3442,0.6,0.5,0.503,0.27
3443,0.6,0.5,0.503,0.27
3444,0.533,0.5,0.467,0.365
3445,0.467,0.233,0.473,0.309
3446,0.533,0.233,0.473,0.309
3447,0.533,0.233,0.503,0.27
3448,0.467,0.367,0.467,0.365
3449,0.533,0.1,0.473,0.309
3450,0.4,0.367,0.503,0.27
3451,0.6,0.367,0.473,0.309
3452,0.533,0.233,0.473,0.309
3453,0.6,0.233,0.534,0.231
3454,0.4,0.367,0.473,0.309
3455,0.4,0.367,0.467,0.357
3456,0.6,0.367,0.473,0.309
3457,0.467,0.1,0.473,0.309
3458,0.533,0.5,0.534,0.231
3459,0.6,0.5,0.467,0.357
3460,0.6,0.367,0.503,0.27
3461,0.467,0.1,0.503,0.27
3462,0.533,0.367,0.534,0.231
3463,0.533,0.233,0.534,0.231
3464,0.467,0.367,0.503,0.27
3465,0.533,0.367,0.467,0.357
3466,0.4,0.233,0.473,0.309
3467,0.533,0.1,0.503,0.27
3468,0.4,0.1,0.473,0.309
3469,0.533,0.367,0.503,0.27
3470,0.4,0.1,0.503,0.27
3471,0.467,0.5,0.503,0.27
3472,0.467,0.233,0.467,0.357
3473,0.4,0.233,0.534,0.231
3474,0.4,0.367,0.473,0.309
3475,0.4,0.367,0.467,0.357
3476,0.6,0.1,0.473,0.309
3477,0.4,0.1,0.467,0.365
3478,0.4,0.5,0.503,0.27
3479,0.467,0.233,0.473,0.309
3480,0.6,0.5,0.473,0.309
3481,0.6,0.1,0.503,0.27
3482,0.4,0.367,0.503,0.27
3483,0.6,0.367,0.467,0.357
3484,0.4,0.1,0.503,0.27
3485,0.4,0.5,0.467,0.357
3486,0.533,0.367,0.473,0.309
3487,0.4,0.1,0.534,0.231
3488,0.533,0.1,0.473,0.309
3489,0.467,0.367,0.467,0.365
3490,0.467,0.5,0.473,0.309
3491,0.6,0.5,0.473,0.309
3492,0.533,0.5,0.467,0.357
3493,0.533,0.1,0.473,0.309
3494,0.6,0.233,0.473,0.309
3495,0.6,0.5,0.503,0.27
3496,0.467,0.5,0.503,0.27
3497,0.4,0.1,0.534,0.231
3498,0.533,0.1,0.473,0.309
3499,0.4,0.1,0.503,0.27
3500,0.6,0.367,0.473,0.309
3501,0.467,0.367,0.473,0.309
3502,0.533,0.5,0.503,0.27
3503,0.467,0.233,0.467,0.365
3504,0.6,0.1,0.473,0.309
3505,0.6,0.5,0.467,0.365
3506,0.6,0.233,0.534,0.231
3507,0.6,0.1,0.473,0.309
3508,0.467,0.367,0.467,0.365
3509,0.6,0.5,0.473,0.309
3510,0.533,0.5,0.503,0.27
3511,0.533,0.5,0.467,0.365
3512,0.4,0.367,0.467,0.365
3513,0.533,0.1,0.503,0.27
3514,0.467,0.5,0.467,0.365
3515,0.6,0.1,0.534,0.231
3516,0.4,0.1,0.534,0.231
3517,0.6,0.1,0.473,0.309
3518,0.467,0.1,0.467,0.365
3519,0.533,0.233,0.503,0.27
3520,0.6,0.233,0.473,0.309
3521,0.4,0.367,0.467,0.357
3522,0.467,0.5,0.473,0.309
3523,0.533,0.5,0.534,0.231
3524,0.533,0.5,0.503,0.27
3525,0.533,0.233,0.503,0.27
3526,0.6,0.233,0.534,0.231
3527,0.533,0.1,0.503,0.27
3528,0.4,0.1,0.473,0.309
3529,0.467,0.233,0.467,0.365
3530,0.6,0.5,0.467,0.365
3531,0.4,0.1,0.473,0.309
3532,0.533,0.1,0.503,0.27
3533,0.533,0.233,0.467,0.357
3534,0.467,0.233,0.467,0.365
3535,0.4,0.5,0.503,0.27
3536,0.467,0.1,0.473,0.309
3537,0.533,0.367,0.56,0.2
3538,0.6,0.5,0.467,0.365
3539,0.4,0.1,0.534,0.231
3540,0.467,0.233,0.503,0.27
3541,0.533,0.367,0.473,0.309
3542,0.533,0.367,0.503,0.27
3543,0.6,0.5,0.473,0.309
3544,0.6,0.233,0.503,0.27
3545,0.467,0.233,0.467,0.357
3546,0.467,0.5,0.473,0.309
3547,0.4,0.367,0.473,0.309
3548,0.6,0.5,0.503,0.27
3549,0.4,0.1,0.467,0.365
3550,0.467,0.5,0.503,0.27
3551,0.6,0.5,0.467,0.365
3552,0.6,0.367,0.467,0.357
3553,0.467,0.233,0.534,0.231
3554,0.4,0.5,0.467,0.365
3555,0.533,0.1,0.467,0.365
3556,0.533,0.5,0.503,0.27
3557,0.6,0.1,0.503,0.27
3558,0.467,0.367,0.467,0.365
3559,0.6,0.367,0.473,0.309
3560,0.467,0.367,0.467,0.365
3561,0.4,0.1,0.473,0.309
3562,0.4,0.1,0.503,0.27
3563,0.533,0.5,0.473,0.309
3564,0.4,0.367,0.467,0.365
3565,0.4,0.233,0.467,0.365
3566,0.533,0.1,0.503,0.27
3567,0.533,0.233,0.534,0.231
3568,0.533,0.367,0.467,0.365
3569,0.533,0.367,0.503,0.27
3570,0.467,0.1,0.467,0.357
3571,0.467,0.5,0.473,0.309
3572,0.6,0.5,0.503,0.27
3573,0.533,0.367,0.467,0.365
3574,0.467,0.233,0.473,0.309
3575,0.4,0.1,0.473,0.309
3576,0.467,0.5,0.467,0.365
3577,0.4,0.1,0.467,0.365
3578,0.533,0.5,0.503,0.27
3579,0.4,0.367,0.534,0.231
3580,0.467,0.5,0.473,0.309
3581,0.4,0.1,0.534,0.231
3582,0.467,0.1,0.473,0.309
3583,0.533,0.1,0.534,0.231
3584,0.467,0.5,0.503,0.27
3585,0.4,0.367,0.473,0.309
3586,0.467,0.1,0.473,0.309
3587,0.4,0.5,0.534,0.231
3588,0.4,0.1,0.473,0.309
3589,0.533,0.233,0.473,0.309
3590,0.4,0.233,0.467,0.357
3591,0.4,0.5,0.473,0.309
3592,0.6,0.5,0.503,0.27
3593,0.533,0.367,0.473,0.309
3594,0.6,0.233,0.503,0.27
3595,0.467,0.367,0.503,0.27
3596,0.467,0.233,0.503,0.27
3597,0.6,0.5,0.534,0.231
3598,0.467,0.233,0.473,0.309
3599,0.6,0.1,0.473,0.309
3600,0.467,0.5,0.467,0.365
3601,0.6,0.233,0.534,0.231
3602,0.467,0.367,0.503,0.27
3603,0.533,0.1,0.467,0.357
3604,0.6,0.5,0.473,0.309
3605,0.533,0.233,0.534,0.231
3606,0.467,0.233,0.467,0.357
3607,0.4,0.5,0.473,0.309
3608,0.533,0.233,0.503,0.27
3609,0.533,0.367,0.473,0.309
3610,0.533,0.5,0.467,0.357
3611,0.533,0.1,0.534,0.231
3612,0.4,0.233,0.467,0.357
3613,0.6,0.367,0.534,0.231
3614,0.6,0.1,0.503,0.27
3615,0.4,0.5,0.534,0.231
3616,0.533,0.367,0.534,0.231
3617,0.467,0.367,0.503,0.27
3618,0.6,0.5,0.467,0.357
3619,0.6,0.5,0.473,0.309
3620,0.533,0.233,0.473,0.309
3621,0.533,0.5,0.467,0.365
3622,0.4,0.233,0.534,0.231
3623,0.4,0.5,0.473,0.309
3624,0.6,0.1,0.473,0.309
3625,0.6,0.233,0.473,0.309
3626,0.467,0.367,0.473,0.309
3627,0.4,0.1,0.473,0.309
3628,0.467,0.5,0.503,0.27
3629,0.467,0.233,0.503,0.27
3630,0.467,0.233,0.473,0.309
3631,0.4,0.367,0.473,0.309
3632,0.6,0.5,0.473,0.309
3633,0.533,0.233,0.473,0.309
3634,0.467,0.367,0.473,0.309
3635,0.4,0.1,0.467,0.365
3636,0.6,0.5,0.473,0.309
3637,0.467,0.367,0.467,0.365
3638,0.6,0.5,0.473,0.309
3639,0.533,0.233,0.503,0.27
3640,0.533,0.233,0.503,0.27
3641,0.533,0.367,0.503,0.27
3642,0.533,0.233,0.473,0.309
3643,0.4,0.1,0.503,0.27
3644,0.6,0.1,0.534,0.231
3645,0.533,0.233,0.503,0.27
3646,0.533,0.233,0.534,0.231
3647,0.4,0.5,0.473,0.309
3648,0.6,0.367,0.473,0.309
3649,0.4,0.233,0.503,0.27
3650,0.533,0.1,0.473,0.309
3651,0.4,0.5,0.473,0.309
3652,0.533,0.1,0.473,0.309
3653,0.6,0.233,0.534,0.231
3654,0.533,0.1,0.473,0.309
3655,0.467,0.1,0.473,0.309
3656,0.467,0.367,0.473,0.309
3657,0.533,0.5,0.503,0.27
3658,0.6,0.367,0.467,0.357
3659,0.467,0.5,0.467,0.357
3660,0.467,0.5,0.473,0.309
3661,0.467,0.233,0.473,0.309
3662,0.467,0.1,0.473,0.309
3663,0.533,0.5,0.473,0.309
3664,0.467,0.5,0.473,0.309
3665,0.533,0.367,0.467,0.357
3666,0.533,0.5,0.467,0.365
3667,0.6,0.1,0.534,0.231
3668,0.533,0.1,0.503,0.27
3669,0.533,0.5,0.473,0.309
3670,0.467,0.1,0.503,0.27
3671,0.6,0.233,0.473,0.309
3672,0.6,0.1,0.503,0.27
3673,0.4,0.233,0.503,0.27
3674,0.4,0.233,0.473,0.309
3675,0.533,0.5,0.473,0.309
3676,0.533,0.5,0.473,0.309
3677,0.533,0.367,0.534,0.231
3678,0.533,0.1,0.503,0.27
3679,0.4,0.233,0.534,0.231
3680,0.6,0.233,0.473,0.309
3681,0.533,0.367,0.534,0.231
3682,0.467,0.1,0.473,0.309
3683,0.6,0.1,0.503,0.27
3684,0.533,0.1,0.503,0.27
3685,0.533,0.5,0.503,0.27
3686,0.467,0.5,0.503,0.27
3687,0.467,0.1,0.467,0.357
3688,0.4,0.367,0.467,0.365
3689,0.533,0.5,0.473,0.309
3690,0.467,0.1,0.473,0.309
3691,0.4,0.367,0.473,0.309
3692,0.467,0.233,0.467,0.365
3693,0.4,0.5,0.467,0.357
3694,0.6,0.367,0.473,0.309
3695,0.533,0.1,0.503,0.27
3696,0.467,0.5,0.467,0.357
3697,0.533,0.5,0.503,0.27
3698,0.4,0.367,0.467,0.357
3699,0.6,0.5,0.503,0.27
3700,0.467,0.1,0.473,0.309
3701,0.6,0.5,0.467,0.365
3702,0.533,0.1,0.473,0.309
3703,0.533,0.367,0.467,0.365
3704,0.467,0.233,0.534,0.231
3705,0.467,0.5,0.473,0.309
3706,0.533,0.367,0.473,0.309
3707,0.467,0.5,0.467,0.365
3708,0.467,0.233,0.503,0.27
3709,0.6,0.367,0.534,0.231
3710,0.533,0.5,0.503,0.27
3711,0.6,0.1,0.467,0.357
3712,0.533,0.1,0.503,0.27
3713,0.4,0.5,0.467,0.365
3714,0.6,0.5,0.503,0.27
3715,0.4,0.5,0.473,0.309
3716,0.6,0.233,0.534,0.231
3717,0.467,0.233,0.473,0.309
3718,0.6,0.5,0.467,0.357
3719,0.4,0.1,0.467,0.357
3720,0.533,0.1,0.473,0.309
3721,0.533,0.1,0.503,0.27
3722,0.6,0.1,0.534,0.231
3723,0.467,0.233,0.534,0.231
3724,0.467,0.367,0.467,0.365
3725,0.533,0.1,0.473,0.309
3726,0.533,0.1,0.503,0.27
3727,0.6,0.367,0.473,0.309
3728,0.467,0.5,0.473,0.309
3729,0.6,0.1,0.473,0.309
3730,0.467,0.5,0.467,0.365
3731,0.4,0.367,0.467,0.365
3732,0.533,0.5,0.473,0.309
3733,0.467,0.367,0.503,0.27
